3/13/17          
KT15.85 SN12228          
BP96_115_aktuell.spk9,6 - 11,5 um Filter 85 , neu 2016          
12 ( Q Det ).SPK    Pyroelektrischer Detektor (LiTaO3)          
8.4 12.2          
     
     
8.3996     0.002699
8.5996     0.005449
8.7996     0.012473
8.9996     0.032447
9.1996     0.159668
9.3996     1.512135
9.5996     21.60015
9.7996     61.783242
9.9996     64.161752
10.1996     67.343044
10.3996     70.666901
10.5996     71.535589
10.7996     74.24136
10.9996     67.615437
11.1996     28.706581
11.3996     5.277031
11.5996     0.681254
11.7996     0.126262
11.9996     0.028735
12.1996     0.005854
