4/30/18     
KT15.85 SN12763     
      12.SPK        Pyroelektrischer Detektor (LiTaO3)      
B96115_3.spk        9,6 - 11,5 um Filter 85 , neu 2016      
8.4 12.2       
        
                
    2.5996  0.00203
    2.7996  0.003255
    2.9996  0.001497
    3.1996  0.000699
    3.3996  0.000786
    3.5996  0.000664
    3.7996  0.000476
    3.9996  0.000425
    4.1996  0.007655
    4.3996  0.009633
    4.5996  0.00261
    4.7996  0.013342
    4.9996  0.029408
    5.1996  0.035904
    5.3996  0.038954
    5.5996  0.027043
    5.7996  0.014313
    5.9996  0.008057
    6.1996  0.00407
    6.3996  0.004555
    6.5996  0.004118
    6.7996  0.00547
    6.9996  0.016578
    7.1996  0.019813
    7.3996  0.006755
    7.5996  0.001171
    7.7996  0.001302
    7.9996  0.005254
    8.1996  0.00571
    8.3996  0.002328
    8.5996  0.004074
    8.7996  0.008961
    8.9996  0.02246
    9.1996  0.096058
    9.3996  0.835901
    9.5996  11.556142
    9.7996  41.691696
    9.9996  62.972497
    10.1996 65.752398
    10.3996 69.004973
    10.5996 71.27746
    10.7996 75.196119
    10.9996 64.539929
    11.1996 14.168871
    11.3996 1.669582
    11.5996 0.280286
    11.7996 0.063774
    11.9996 0.014519
    12.1996 0.002339
    12.3996 0.000657
    12.5996 0.000685
    12.7996 0.00212
    12.9996 0.004898
